ID	CK0-1	CK0-2	CK0-3	CK1-1	CK1-2	CK1-3	CK14-1	CK14-2	CK14-3	CK3-1	CK3-2	CK3-3	CK56-1	CK56-2	CK56-3	CK7-1	CK7-2	CK7-3	F1-1	F1-2	F1-3	F14-1	F14-2	F14-3	F3-1	F3-2	F3-3	F56-1	F56-2	F56-3	F7-1	F7-2	F7-3	T1-1	T1-2	T1-3	T14-1	T14-2	T14-3	T3-1	T3-2	T3-3	T56-1	T56-2	T56-3	T7-1	T7-2	T7-3
aminoglycoside__aac(2')-I	0.00231820906029422	0.00152866296534695	0.00169128843690384	0.00124650952296279	0.00246423713580056	0.00112320210534713	0.00182317107522335	0.00289109337133653	0	0.00230402797003475	0.00114628337298476	0.00207333453740323	0	0	0	0.0018443827504601	0.0018512200341531	0.000572778783148247	0.00225197785220638	0.000764249970017771	0.00158585401180106	0.00339650780932787	0.00119983459027569	0.00274577167304349	0.00107175218369804	0.000916199901369638	0.00147972564703228	0.00213111892597038	0.00335359483235309	0.00184047697133295	0.00103653428243592	0.00120585151769357	0.00109406174718579	0.00176332827026381	0.0015518092059316	0.00179723990792029	6.68237550601962e-05	3.10190274061938e-05	0	0.0019266957034891	0.00158328176484586	0.00152725689031421	0	0.00208651906823576	0.00242591240346054	0.000747187763130957	0.00072519353686699	0.00172526169820001
aminoglycoside__aac(3)-I	0.000567837388360539	0.000590939965105905	0.00075470726962706	0.000147430820228497	0.000125702568188376	0.00131566849861871	0.000595679025885261	0.000739696599952567	0.000180802890227966	0.000677171041701928	0.000181902083900932	0.000328498758703272	9.06804630354924e-05	0	0.000121072452482362	0.000167315104023965	0.00010067872920042	0.000511474183503441	8.83558722674344e-05	0.000157215347612198	0.000336092378463801	0.000533645806376173	0.000682131640727729	0.00038773119672221	0.000162256079167581	0.000239992199093991	0.000150414244243144	0.000121509105758318	0.000335400417571791	0.000461038200764228	0.00026452759850926	0.000161552638028258	0.000195658987017268	0.000380409648658217	0.000344303605119972	0.000613859854843014	0.000208534353903511	0.000122876052315561	2.420048820091e-05	0.000308600492556428	0.000604504045071525	0.000172746574020459	0.0001384561715158	0.000142135494759675	0.000970268470711079	0.000397757228878657	0.000486696016264398	0.000414359409982031
aminoglycoside__aac(3)-II	0	0	7.08343743769513e-05	5.02122180418692e-05	9.2779455533428e-05	0	0	7.10211774041562e-05	2.28036298537733e-05	0	0	0	0	0	0	0	0	0	0.00014737030102392	0.000117870430325845	0	0.000739819033274848	0.0011458172809066	0.00149870019260677	0.00859878691478416	0.00700646363967107	0.00982983992284268	5.84178393068838e-05	0	6.25858160104735e-05	0.00302015491680024	0.0041716398403214	0.00222954023940767	0	0	0.000649061301999524	0.000149237653346403	0.000134095795460045	0.000252017269421301	0.00230912597085712	0.0032421887383784	0.0024396763525406	0	0	0	0.000594099675273425	0.00104331384235356	0.00135291641568672
aminoglycoside__aac(3)-IIIa	0.00053848009089763	0.00019185331048952	0.000146068759778766	0.000192823179373025	0.000118407518105656	0.000269368198235989	0.000101680216582214	0.000216923435278176	0	5.79019596902084e-05	0.000372167750099449	0.000258866439548034	0	0	2.06752669231824e-05	4.59277878632717e-05	0.000108654557366378	0	0.000124660642862014	0.000205698601312404	5.26811466242863e-05	0.000461380375540986	0.00015616253928016	0.000184115436435763	3.73824944461413e-05	0.000157096104185518	9.03214293406191e-05	0.000190510063194251	5.93594813506769e-05	0.000125244618395303	0.000150883739906682	0.000152625770330453	0.000111957498320887	0	6.09031917823221e-05	0	0	1.93735860944656e-05	0	0	0.000103521569081058	0.000181821739660244	2.84469397231199e-05	7.456003332292e-05	0	3.25092510613181e-05	6.65783294976406e-05	0.000253360376670355
aminoglycoside__aac(3)-IV	0.000256323370990468	0.000263865855905657	7.53616781656379e-05	0.000177724824385037	0	0.000417301219444904	0.00034328028994414	0.00046058715917181	0	0	0.000379348508774116	0.00011400547735813	0	0	0	0.00049503982730307	0	0.000274299183262863	0.000440410697465074	0.000868748514804726	0.000380797897399918	0.00026173893809342	0.000313929908504887	0.000684303355158206	0.00307476073296654	0.000759038030529665	0.00213493069875227	0.000118892336626819	0.000126181297499725	0.000127853881278539	0.00226041213077264	0.00115593881314029	0.000572742741569195	0.0002667185035306	0.000885519610091422	0.00083846753024678	0.000210514693659822	8.03461548684667e-05	0	0.00708746933849645	0.0100181528494748	0.00788970753015178	0	7.98857499888428e-05	0.0005301185815462	0.00095381613910105	0.00262313580660033	0.00339729767687309
aminoglycoside__aac(3)-IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97230836510442e-05	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15449204101616e-05	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121899005015574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	6.56584711480014e-05	0	0	0.000178959024554378	0.000106466266086822	0	0	0.000142495295990737	0	0	0.000239765227344683	0	0	0	0	5.77200577200577e-05	0	0	5.76168882502748e-05	0.000141881073540369	0	5.4454843134652e-05	5.1868271975196e-05	0	0	2.88521255375028e-05	0	0	0	0	8.39246740886086e-05	3.34195554469293e-05	0.000109576958730301	5.68837731757113e-05	0.000243374864036389	0	0	0	0	0.000168538003436669	0	5.87818203264063e-05	0	0	0.000187616578537571	0	0	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.53450749138272e-05	0	0	0	0	2.8318162945399e-05	0	0
aminoglycoside__aac(3)-X	0	0	0	0	6.15153925244525e-05	0	6.54360096828845e-05	0	0	0	0	0	0	0	0	6.09718919578074e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91677921409737e-05	0	0	0	0.000346109718477567	0	0	0	0	0	0	0	0	0	0	0	0	0.000117215368833874	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56178660365297e-05	0	0.000412710431729226	0.000111674528710613	7.40477214812854e-05	0	0	0	9.11913226987198e-05	0.000122711272328414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-31	0.000102769780927307	0	0	0	9.30099634974862e-05	0	0	0.000110391612704286	0	0	0	0	0	0	3.45884307988859e-05	0	0	8.43429885375208e-05	0	0	0	0	0.000170079682523317	8.51228146262871e-05	0	0	0	8.8985608700725e-05	0	0	0	0	0	8.54013701981398e-05	0	0	0	0	3.4196342023025e-05	0	0	0	0	0	0	3.1802528212159e-05	0	0
aminoglycoside__aac(6')-I	0.00100435743585636	0.000230492467397116	0.000304653184064758	0.000196968913649659	0.00031566120308011	0	0.000362502989947062	0.000382847813200358	4.15403703068737e-05	9.11370996841083e-05	0	0.000322157342455453	1.85458179882779e-05	2.73544836978738e-05	1.83530449136945e-05	0.000306518921860932	0.000110969402976863	0	0.000755231979741404	0.000509463578099437	0.000578715693478647	0.000537335808768185	0.000709088966155011	0.000341540718250661	0.0153402858136436	0.00273855245599618	0.00211845102661342	0.00037439339346327	0.000365764930495968	0.000465438787138464	0.00306766373421736	0.00238525384277118	0.00151204728871735	0.000319430521407868	0.00011273879052062	0.000213785815362337	0	2.30765178208954e-05	0	0.00049041949974953	0.000868542939066476	0.00069082375225857	2.17866453575112e-05	0	0.000533803674903204	0.00026711296854451	0.000205671909594622	0.000611767163775985
aminoglycoside__aac(6')-II	0.000102769780927307	0	6.76289146669029e-05	0.000112656172834231	0	0	0	0.000110391612704286	0	0.000112069815412063	0.000189537729126231	0	3.27806492815084e-05	5.65176518369732e-05	3.38825444560515e-05	0	8.8465038041555e-05	4.71132662140371e-05	0	0.000117226329613682	9.36250429644052e-05	0.000280331645513065	0.00041945646032115	0.000168694502408273	5.90450404804881e-05	4.30539489886052e-05	0	6.02565647408054e-05	0	5.98847219103226e-05	0	7.92558627199904e-05	0	8.90354710576351e-05	0	9.12075353583882e-05	0	2.2504212418864e-05	4.40105053183763e-05	0	0	9.20063274674186e-05	2.59763848493402e-05	0	7.43185108693488e-05	7.23563018752007e-05	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.08275512662881e-05	0	0	0	6.61769571835087e-05	0	0	0	0	0	0	2.40879773675286e-05	0	0	0	0	0	0	0	0	8.71624847296209e-05	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0	0	7.81232951445718e-05	0	0	0	0	0	0	0	0	0	0	0.000127643567815993	0	0	0	0	0	8.19000130726278e-05	8.4137689793509e-05	0.00106388222059864	0	0	0	0	0.000387012474266538	0	0	0	0	0	0	0	4.79685086704365e-05	0	0.000130224340415423	0	0	0	0	0	0.00012875193124227
aminoglycoside__aadA	0.000291666850090384	0	6.8051595383571e-05	0.000119844172119099	0.000109669837122576	0.000303877600753382	0	0	2.28264334836271e-05	0.000236414799667093	0	4.76440800899648e-05	0.000109793850643589	0.00011611059774774	4.47362883847689e-05	3.84800384800385e-05	0.000148433465044299	0	0.000364210319254575	0.00195806340603116	0.00232808035940678	0.0045944343978478	0.00545775072114533	0.0047908324813377	0.0543300169881693	0.0239478293880192	0.0301091181902053	0.000293876129202997	0	0.000386288232530224	0.0198274614009153	0.0219313566421479	0.0125847259307262	0.000644447641941839	0.00035047200072698	0.00124860437847702	0.000431589055231024	0.000209109535255958	0.000245054264161391	0.0109772880271361	0.0130694299424968	0.0135198235285013	8.25394989499716e-05	0	0	0.000995747607209452	0.00507508830915047	0.00497821825802209
aminoglycoside__aadB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4647691332559e-05	0.00060211276621995	5.23571989461061e-05	0.000562638882442804	8.67194685503508e-05	0.00168304385217738	0.000544188412766846	0.000971201176108841	0.000147252560368132	0	0	0.000435270343578207	0.000318026462927943	0.00045119478267918	0	0	0	0	0	0	0.000281848864504259	0.000345676586272673	0.000187386114191685	0	0	0	0	0	0.000382113998636693
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	2.02008984998519e-05	4.42581102592577e-05	8.07866668950206e-05	0	0	0	0.000407948371057381	0.00302454959939537	0.00266952536319825	0.000141915885242066	0.00103441950571798	0.000187129218740107	0.0100318504391496	0.0118369032313655	0.0131944795282571	6.79392199208855e-05	0	7.07491833161875e-05	0.00393704330723166	0.00614755680737172	0.0010209209426263	0.000487210617334203	0.000345162090380752	0.000488886041248465	8.14414124840616e-05	9.76325409709378e-05	0.000236021555293233	0.00314401130618003	0.00218983672736312	0.00264433313700657	0	0	0	0.000264968705466585	0.00117014497260041	0.00117012427440749
aminoglycoside__aadE	0	6.41340621992916e-05	0	0	0	0	0	0.000254160720186801	1.35871627878733e-05	0	7.35758273401404e-05	0	0.00016369043132698	0.000176227276204386	6.23498187897538e-05	0	0	0	0.000293352271034256	0.000591846763911252	0.000353569255043287	0	0.000242051935884248	0.000136496754664737	0.000319561813838422	0.000457121682261225	0.000438908535301164	0.00011254359014247	0.000315635797709815	0	4.77045515872091e-05	0.000266546378292023	3.66860600657377e-05	0	0.000244604030016371	0.000101083181193679	0.000106452516073476	7.68600900711982e-05	3.07969081915378e-05	0.000259510713946633	0.000262664196909583	0.000357495828350847	8.11495475015073e-05	0.000189913576941068	0.000125077719025047	0	0	0
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	1.74808901948014e-05	3.79514565726629e-05	0	0	0	0	0	0	0	0	4.49281510771064e-05	0	0	0	0	0.000289439824103882	0.000117924716119901	4.75914849829571e-05	5.31916948448928e-05	0	0	0	0	5.9092206006843e-05	0	5.89101247188352e-05	2.21553765219599e-05	0	0	0	7.6005415006702e-05	6.56338321504577e-05	6.34196885197422e-05	0	0.000168790131120779	0
aminoglycoside__ant(2'')-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000321534939642124	0.000324302762584304	8.82078450776181e-05	0.000490012196287028	6.16439595719361e-05	0.00253258618002568	0.000564624780989444	0.000946276872723501	0	0	0	0.000487538331798331	0.000565314524333843	0.000348756502281858	0	0	0	0	0	0	0.00021827691767957	0.00034450171681245	0.000233398133719744	0	0	0	0	0.000136182946699719	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27990321196618e-05	0	0	7.5953970624585e-05	0	0.000405944217834751	0.000167382260975183	0.000205165676298135	0	0	0	0.000211424924097091	0.000153075081379534	0.000265685606110831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
