Type level results	CK0-1	CK0-2	CK0-3	CK1-1	CK1-2	CK1-3	CK14-1	CK14-2	CK14-3	CK3-1	CK3-2	CK3-3	CK56-1	CK56-2	CK56-3	CK7-1	CK7-2	CK7-3	F1-1	F1-2	F1-3	F14-1	F14-2	F14-3	F3-1	F3-2	F3-3	F56-1	F56-2	F56-3	F7-1	F7-2	F7-3	T1-1	T1-2	T1-3	T14-1	T14-2	T14-3	T3-1	T3-2	T3-3	T56-1	T56-2	T56-3	T7-1	T7-2	T7-3
aminoglycoside	0.00589336218654793	0.00375812927913036	0.00384055968217184	0.00304197464221019	0.00402865795093762	0.00371486508544292	0.00337174197447367	0.00585036681153976	0.000412735498936944	0.00417221325187008	0.00303516541031267	0.00339983735898054	0.000623370827088078	0.00111926934779878	0.000648729761155331	0.00386225924755208	0.0024723678647677	0.00161658957564477	0.00719828452590908	0.0132981701370456	0.0133569465651558	0.0202365354624105	0.0252408745167786	0.022327532415875	0.239165717273059	0.0993153194967609	0.116770358724796	0.00540881831100945	0.0054428286591831	0.00462858326183908	0.074193201041226	0.0779938260202076	0.0414006117060672	0.00566766661618898	0.00602353026961354	0.00979296675529639	0.00269723968367921	0.00218705111167917	0.00239791151538087	0.0466073726224364	0.0597548695337662	0.0508752996067362	0.000654433448806296	0.00287622166279288	0.00576447354447706	0.00802415710735102	0.0210178581439752	0.0292421035295834
bacitracin	0.0176168214636214	0.0158993689064875	0.0146728264553465	0.0149333509726771	0.0160651451936589	0.0139133426235777	0.0169112709218292	0.0210484698303877	0.00406113789198491	0.0146088063933543	0.0153632848890352	0.0159557395233932	0.00371227306072919	0.0037216808320183	0.00356563190079662	0.01438425864406	0.0162046362770076	0.0134353667130977	0.0126205742893597	0.0163748299741081	0.0162807456493822	0.0169619674336135	0.0175626537950462	0.0158668164918745	0.03092337510867	0.0129218001476604	0.0216323804096534	0.0150756216181089	0.0156801755161346	0.0155943123674811	0.0168505307111254	0.0167885248720692	0.0178100522921391	0.01592463918853	0.0132857936733341	0.0129141426066611	0.00348042134308586	0.00373980297896436	0.00397541032455572	0.0178048633055235	0.0150176042119452	0.0171544639072317	0.0046370945219464	0.014100911013974	0.0166966852955064	0.00641795906627662	0.0159920090259517	0.0142867749446347
beta-lactam	0.00376651858254193	0.00215137521368963	0.00379402572235045	0.0040667720921602	0.00366878465992762	0.00246075276538138	0.00446203395311468	0.0104819751406291	0.00108227508290709	0.0026778302132824	0.00326397850456773	0.00401615256053776	0.00143944972907722	0.00195971999665753	0.00167389189730459	0.00265564574099452	0.00446658203935192	0.00267002634792284	0.00332484215148954	0.00552633320967704	0.00437199281892525	0.00442609005725154	0.00644080996178549	0.00474253568063001	0.0337782702103826	0.0128603058474553	0.0167154584302097	0.00395556987977225	0.0037588001402345	0.00412523180117847	0.0126277308053867	0.0148164507388174	0.00846245118769026	0.00246415391370993	0.00281703930166858	0.00378041917232763	0.00167287283888121	0.000908889395495088	0.00189054852386257	0.00663503722604539	0.00855516835644064	0.00741846629344177	0.00140717667736532	0.0028326753159041	0.00327621187232681	0.00160094804658644	0.00438951498153851	0.00661241860361711
bleomycin	0.00014399664705014	0	0	0	0	0	0	0	0	0	0	0	1.75761020150346e-05	5.83119086057791e-05	9.26071098896603e-05	0.000117703647115412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.34079553311678e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carbomycin	3.43187653187376e-05	1.91554160367083e-05	2.1172391615319e-05	0.000119343348498119	3.17066632975399e-05	6.14844739611044e-05	6.46442854277982e-05	3.76163130812042e-05	0	9.42941411708378e-05	0	0.00010170603586053	0	0	0	1.57132643521028e-05	1.89715385851551e-05	3.06689406999108e-05	1.62623928506039e-05	3.70796272047424e-05	2.00781139584394e-05	0	0	5.57145042955067e-05	8.0446992358461e-05	0	0	0	0	3.31485302770388e-05	0	3.01718870492653e-05	0	9.89055834645946e-05	0	6.15369630019037e-05	0	0	0	8.80924591465709e-05	7.86787892603406e-05	1.69297912833118e-05	0	0	3.2688187912172e-05	0	2.96037944227258e-05	3.09969833354849e-05
chloramphenicol	0.00129552688982265	0.000850453864666865	0.00061339912613796	0.000446274000539681	0.00114967273027351	0.000243213865886832	0.000461707305377873	0.000874959166185144	0.000265384119056061	0.000888641463535961	0.00115225948343374	0.000883337589078003	9.28983210019519e-05	0.00027135719280169	0.00044421376929627	0.000583865239173234	0.000536553487131989	0.000667937286180994	0.00344598880113746	0.00765412074454801	0.0069628307326421	0.00836640755431366	0.012788384005849	0.0131293428646476	0.129134856952621	0.0652442743116943	0.088245485086461	0.00138108836033401	0.00150602249650754	0.00050826831193941	0.0491955089800925	0.0560019161550819	0.0282666592375498	0.00334383628442277	0.0017985643282533	0.00444940806584451	0.00153781108410996	0.00062087156469287	0.00153652092551897	0.033712134388258	0.0418187019901819	0.033008818493404	0.000260124324364273	0.000320968782863413	0.000828180467451287	0.00448350162144627	0.012597447081397	0.0185969595432623
fosfomycin	0.000838353487447592	0.000727285236112436	0.000492369774398284	0.000566850573107553	0.000560943524205056	0.000114364706668177	0.000368903239340179	0.000458575895731344	0.000382034330873191	0.000807965625428198	0.00103366181948625	0	0.000368928123676358	0.00113725360276759	0.000570327834093946	0.000520757390068345	0.00011287620116886	8.129057561902e-05	0.00103500445636153	0.000222389723410546	0.00076399637425778	0.000356373860137912	0.000613892521612897	0.000219942864004602	0.000452043687292562	0.000466267159021043	0.000474821252070019	0.000365164275276155	0.000820565308330491	0.000905939741051385	7.71392749069764e-05	0.000845252459510848	0.000735930396162386	0.00031674058017496	0.000329006695096753	0.000262636824505387	0.000590844845682249	0.000530806368033414	0.000646166111312818	0.000835569640967687	0.000226779806839423	0.000505622176948221	0.00061502991287334	0.000120529377176149	0.000994564020187783	0.000184969716218346	0.000762139838492345	0.000578961450827215
fosmidomycin	0.0135227054929328	0.0118920067514925	0.011703627092149	0.00979406078106589	0.0104289063361894	0.0108261769203361	0.0141358926676608	0.0175802144479071	0.00192041812886137	0.0111803481201461	0.0100636538024784	0.0115383066003884	0.00115710705874381	0.000847781287486312	0.00132530859443184	0.0109925185146158	0.011129557611976	0.0100686429590986	0.00878106539352635	0.00830905166241796	0.00958780399453209	0.0117938466674042	0.0117971123099964	0.0102115606599355	0.00605810531830809	0.00506894714351437	0.00693148309647557	0.0117212273325422	0.0123978208378725	0.0117543992915054	0.00819779925819188	0.00836455954397597	0.00917552549492706	0.00973165761415534	0.010233774797604	0.00980110108385852	0.00199722210971166	0.00162558498632468	0.00122275857387561	0.00964743753186835	0.00969246514381782	0.0126581755447224	0.00287917733766995	0.0138784084723626	0.0138829888806639	0.00627789610866694	0.0119371670610806	0.0112465224233287
fusaric-acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fusidic-acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48673321049926e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
